Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,100n,C1525
"C10, C11, C12, C13, C14, C15, C5, C6, C9",0402,9,100nF,C1525
"C16, C17, C4, C8",0402,4,1uF,C52923
"C18, C20, C21",0402,3,4u7,C23733
C19,0402,1,100n,C307331
"C2, C3",0402,2,22pF,C1555
C7,0402,1,10uF,C15525
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D35, D36, D37, D38, D39, D4, D40, D41, D5, D6, D7, D8, D9",D_SOD-123F,40,D_Small,
F1,1206,1,500mA,C70076
IC1,SON50P300X200X60-9N,1,W25Q16JVUXIQ,C2843335
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J2,VIK_Cirque_Horizontal,1,VIK Cirque Connector,C88360
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX33, MX34, MX4, MX5, MX6, MX7, MX8, MX9",flipped,32,MX_SW_solder,
"MX31, MX32, MX35, MX36, MX37, MX40",flipped mx hs 1.25u vert no silk,6,MX_SW_solder,
"MX38, MX39",sw mx hs back 1.5 vert,2,MX_SW_solder,
R10,0402,1,39,C25164
"R11, R9",0402,2,10k,C25744
"R12, R13",0402,2,4k7,C25900
R2,0402,1,1k,C25543
"R3, R4",0402,2,5k1,C25905
R5,0402,1,5.1k,
R6,0402,1,1k,C11702
"R7, R8",0603,2,27R,C25190
"S1, S2",STAB_MX_P_ISO,2,MX_stab,
SW1,SW_SPST_TL3342,1,boot,C115351
"SW2, SW3",ROT_Alps_EC11E-Switch,2,RotaryEncoder_Switch,
SWD1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Female,
SWR1,SW_SPST_TL3342,1,Reset,
U1,SOT-23-6,1,USBLC6-2SC6,C2827654
U2,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
U3,RP2040-QFN-56,1,RP2040,C2040
U4,SOT-23-3,1,XC6206P202MR,C2891260
U5,PMW3360,1,PMW3360DM-T2QU_1,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
