Designator,Mid X,Mid Y,Rotation,Layer
C1,155.962331,-47.306956,180.0,bottom
C10,148.609539,-66.692358,270.0,bottom
C11,145.263796,-58.948805,0.0,bottom
C12,157.170046,-58.948805,180.0,bottom
C13,152.221837,-49.210534,90.0,bottom
C14,145.475013,-52.993014,0.0,bottom
C15,156.36875,-53.66125,90.0,bottom
C16,144.4625,-45.14375,180.0,bottom
C17,144.4625,-51.1,0.0,bottom
C18,158.75,-77.55,180.0,bottom
C19,158.75,-78.54375,0.0,bottom
C2,155.12791,-66.675957,90.0,bottom
C20,161.925248,-73.331937,0.0,bottom
C21,161.925,-78.74375,0.0,bottom
C3,149.682815,-66.675,90.0,bottom
C4,147.968732,-51.636199,90.0,bottom
C5,153.29375,-49.2125,90.0,bottom
C6,147.62278,-66.684935,270.0,bottom
C7,144.4625,-50.10625,180.0,bottom
C8,146.940809,-51.646373,90.0,bottom
C9,145.474723,-54.044548,0.0,bottom
D1,53.532144,-51.898052,100.0,bottom
D10,254.384631,-49.841786,80.0,bottom
D11,50.224146,-70.658639,100.0,bottom
D12,69.811733,-69.27649,100.0,bottom
D13,89.73012,-66.018282,100.0,bottom
D14,107.332909,-75.892486,100.0,bottom
D15,126.093497,-79.200483,100.0,bottom
D16,181.856358,-77.331823,80.0,bottom
D17,200.583866,-73.83622,80.0,bottom
D18,218.186654,-63.962015,80.0,bottom
D19,238.105041,-67.220224,80.0,bottom
D2,73.119731,-50.515902,100.0,bottom
D20,257.692628,-68.602373,80.0,bottom
D21,46.916148,-89.419227,100.0,bottom
D22,66.503736,-88.037078,100.0,bottom
D23,86.422123,-84.77887,100.0,bottom
D24,104.024911,-94.653073,100.0,bottom
D25,122.785499,-97.961071,100.0,bottom
D26,185.164356,-96.092411,80.0,bottom
D27,203.924944,-92.784413,80.0,bottom
D28,221.494652,-82.722603,80.0,bottom
D29,241.446119,-86.168418,80.0,bottom
D3,93.038118,-47.257695,100.0,bottom
D30,261.033706,-87.550567,80.0,bottom
D31,82.700625,-105.884531,100.0,bottom
D32,100.303414,-115.758735,100.0,bottom
D35,207.646441,-113.890074,80.0,bottom
D36,225.18307,-103.640659,80.0,bottom
D37,116.067649,-121.114083,100.0,bottom
D38,142.875,-122.2375,100.0,bottom
D39,167.406013,-122.163183,80.0,bottom
D4,110.640907,-57.131898,100.0,bottom
D40,188.876699,-117.179784,80.0,bottom
D41,140.49375,-93.425,90.0,bottom
D5,129.401494,-60.439896,100.0,bottom
D6,178.54836,-58.571236,80.0,bottom
D7,197.275868,-55.075632,80.0,bottom
D8,214.878657,-45.201428,80.0,bottom
D9,234.797043,-48.459636,80.0,bottom
F1,146.05,-42.06875,270.0,bottom
IC1,157.1625,-49.2125,0.0,bottom
J1,150.8125,-34.055,180.0,bottom
J2,150.813233,-74.929591,0.0,bottom
MX1,50.681046,-49.083337,350.0,top
MX10,250.9822,-48.829737,10.0,top
MX11,47.373048,-67.843924,350.0,top
MX12,66.960635,-66.461775,350.0,top
MX13,86.879022,-63.203567,350.0,top
MX14,104.481811,-73.077771,350.0,top
MX15,123.242399,-76.385768,350.0,top
MX16,178.453927,-76.319774,10.0,top
MX17,197.211744,-73.006305,10.0,top
MX18,214.784223,-62.949966,10.0,top
MX19,234.70261,-66.208175,10.0,top
MX2,70.268633,-47.701187,350.0,top
MX20,254.290197,-67.590324,10.0,top
MX21,44.06505,-86.604512,350.0,top
MX22,63.652638,-85.222363,350.0,top
MX23,83.571025,-81.964155,350.0,top
MX24,101.173813,-91.838358,350.0,top
MX25,119.934401,-95.146356,350.0,top
MX26,181.761925,-95.080362,10.0,top
MX27,200.522513,-91.772364,10.0,top
MX28,218.092221,-81.710554,10.0,top
MX29,238.002369,-84.970436,10.0,top
MX3,90.18702,-44.44298,350.0,top
MX30,257.590157,-86.353487,10.0,top
MX31,79.849527,-103.069816,350.0,top
MX32,97.452316,-112.94402,350.0,top
MX33,125.583036,-117.920357,170.0,top
MX34,176.099117,-117.82465,190.0,top
MX35,204.24401,-112.878025,10.0,top
MX36,221.780639,-102.62861,10.0,top
MX37,116.209825,-116.264983,350.0,top
MX38,135.368475,-117.251062,350.0,top
MX39,166.300181,-117.130659,10.0,top
MX4,107.789809,-54.317183,350.0,top
MX40,185.474268,-116.167735,10.0,top
MX5,126.550396,-57.625181,350.0,top
MX6,175.145929,-57.559187,10.0,top
MX7,193.905637,-54.238381,10.0,top
MX8,211.476226,-44.189379,10.0,top
MX9,231.394612,-47.447587,10.0,top
R10,142.875,-78.54375,0.0,bottom
R11,149.225,-69.56625,90.0,bottom
R12,152.4,-69.56625,270.0,bottom
R13,150.8125,-69.56625,270.0,bottom
R2,157.95625,-42.06875,90.0,bottom
R3,148.43125,-41.275,270.0,bottom
R4,153.19375,-41.275,270.0,bottom
R5,143.66875,-42.06875,270.0,bottom
R6,152.4,-64.29375,180.0,bottom
R7,150.8125,-49.2125,270.0,bottom
R8,149.225,-49.2125,270.0,bottom
R9,157.95625,-88.94625,90.0,bottom
SW1,163.5125,-42.06875,180.0,bottom
SW2,151.0125,-83.9,90.0,top
SWD1,144.4625,-67.45375,180.0,bottom
SWR1,138.1125,-42.06875,0.0,bottom
U1,150.8125,-43.65625,270.0,bottom
U2,144.4625,-47.625,270.0,bottom
U3,151.2425,-57.94375,0.0,bottom
U4,161.925,-75.9625,270.0,bottom
U5,150.800243,-84.940817,0.0,bottom
Y1,152.4,-66.675,180.0,bottom
