Comment,Designator,Footprint,LCSC,Quantity
boot,"SW1,SWR1",SW_SPST_TL3342,C115351,2
1k,R6,R_0402_1005Metric,C11702,1
100n,"C1,C10,C11,C12,C13,C14,C15,C5,C6,C9",C_0402_1005Metric,C1525,10
10uF,C7,C_0402_1005Metric,C15525,1
22pF,"C2,C3",C_0402_1005Metric,C1555,2
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
RP2040,U3,RP2040-QFN-56,C2040,1
PMW3360DM-T2QU_1,U5,PixArt_PMW3360DM-T2QU,C20612443,1
4u7,"C18,C20,C21",C_0402_1005Metric,C23733,3
39,R10,R_0402_1005Metric,C25164,1
27R,"R7,R8",R_0603_1608Metric,C25190,2
1k,R2,R_0402_1005Metric,C25543,1
10k,"R11,R9",R_0402_1005Metric,C25744,2
4k7,"R12,R13",R_0402_1005Metric,C25900,2
5k1,"R3,R4,R5",R_0402_1005Metric,C25905,3
USBLC6-2SC6,U1,SOT-23-6,C2827654,1
W25Q16JVUXIQ,IC1,SON50P300X200X60-9N,C2843335,1
XC6206P202MR,U4,SOT-23-3,C2891260,1
100n,C19,C_0402_1005Metric,C307331,1
1uF,"C16,C17,C4,C8",C_0402_1005Metric,C52923,4
XC6206PxxxMR-Regulator_Linear,U2,SOT-23,C5446,1
500mA,F1,Fuse_1206_3216Metric,C70076,1
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D35,D36,D37,D38,D39,D4,D40,D41,D5,D6,D7,D8,D9",D_SOD-123F,C81598,39
VIK Cirque Connector,J2,VIK_Cirque_Horizontal,C88360,1
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,1
