Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,155.962331,-47.306956,180.0,bottom
C10,100nF,C_0402_1005Metric,148.609539,-66.692358,270.0,bottom
C11,100nF,C_0402_1005Metric,145.263796,-58.948805,0.0,bottom
C12,100nF,C_0402_1005Metric,157.170046,-58.948805,180.0,bottom
C13,100nF,C_0402_1005Metric,152.221837,-49.210534,90.0,bottom
C14,100nF,C_0402_1005Metric,145.475013,-52.993014,0.0,bottom
C15,100nF,C_0402_1005Metric,156.36875,-53.66125,90.0,bottom
C16,1uF,C_0402_1005Metric,144.4625,-45.14375,180.0,bottom
C17,1uF,C_0402_1005Metric,144.4625,-51.1,0.0,bottom
C18,4u7,C_0402_1005Metric,158.75,-82.55,180.0,bottom
C19,100n,C_0402_1005Metric,158.75,-83.54375,0.0,bottom
C2,22pF,C_0402_1005Metric,155.12791,-66.675957,90.0,bottom
C20,4u7,C_0402_1005Metric,161.925248,-78.331937,0.0,bottom
C21,4u7,C_0402_1005Metric,161.925,-83.74375,0.0,bottom
C3,22pF,C_0402_1005Metric,149.682815,-66.675,90.0,bottom
C4,1uF,C_0402_1005Metric,147.968732,-51.636199,90.0,bottom
C5,100nF,C_0402_1005Metric,153.29375,-49.2125,90.0,bottom
C6,100nF,C_0402_1005Metric,147.62278,-66.684935,270.0,bottom
C7,10uF,C_0402_1005Metric,144.4625,-50.10625,180.0,bottom
C8,1uF,C_0402_1005Metric,146.940809,-51.646373,90.0,bottom
C9,100nF,C_0402_1005Metric,145.474723,-54.044548,0.0,bottom
D1,D_Small,D_SOD-123F,53.532144,-51.898052,100.0,bottom
D10,D_Small,D_SOD-123F,254.384631,-49.841786,80.0,bottom
D11,D_Small,D_SOD-123F,50.224146,-70.658639,100.0,bottom
D12,D_Small,D_SOD-123F,69.811733,-69.27649,100.0,bottom
D13,D_Small,D_SOD-123F,89.73012,-66.018282,100.0,bottom
D14,D_Small,D_SOD-123F,107.332909,-75.892486,100.0,bottom
D15,D_Small,D_SOD-123F,126.093497,-79.200483,100.0,bottom
D16,D_Small,D_SOD-123F,181.856358,-77.331823,80.0,bottom
D17,D_Small,D_SOD-123F,200.583866,-73.83622,80.0,bottom
D18,D_Small,D_SOD-123F,218.186654,-63.962015,80.0,bottom
D19,D_Small,D_SOD-123F,238.105041,-67.220224,80.0,bottom
D2,D_Small,D_SOD-123F,73.119731,-50.515902,100.0,bottom
D20,D_Small,D_SOD-123F,257.692628,-68.602373,80.0,bottom
D21,D_Small,D_SOD-123F,46.916148,-89.419227,100.0,bottom
D22,D_Small,D_SOD-123F,66.503736,-88.037078,100.0,bottom
D23,D_Small,D_SOD-123F,86.422123,-84.77887,100.0,bottom
D24,D_Small,D_SOD-123F,104.024911,-94.653073,100.0,bottom
D25,D_Small,D_SOD-123F,122.785499,-97.961071,100.0,bottom
D26,D_Small,D_SOD-123F,185.164356,-96.092411,80.0,bottom
D27,D_Small,D_SOD-123F,203.924944,-92.784413,80.0,bottom
D28,D_Small,D_SOD-123F,221.494652,-82.722603,80.0,bottom
D29,D_Small,D_SOD-123F,241.446119,-86.168418,80.0,bottom
D3,D_Small,D_SOD-123F,93.038118,-47.257695,100.0,bottom
D30,D_Small,D_SOD-123F,261.033706,-87.550567,80.0,bottom
D31,D_Small,D_SOD-123F,82.700625,-105.884531,100.0,bottom
D32,D_Small,D_SOD-123F,100.303414,-115.758735,100.0,bottom
D35,D_Small,D_SOD-123F,207.646441,-113.890074,80.0,bottom
D36,D_Small,D_SOD-123F,225.18307,-103.640659,80.0,bottom
D37,D_Small,D_SOD-123F,118.734362,-120.088078,100.0,bottom
D38,D_Small,D_SOD-123F,142.875,-122.2375,100.0,bottom
D39,D_Small,D_SOD-123F,169.06875,-120.65,80.0,bottom
D4,D_Small,D_SOD-123F,110.640907,-57.131898,100.0,bottom
D40,D_Small,D_SOD-123F,188.876699,-117.179784,80.0,bottom
D41,D_Small,D_SOD-123F,140.49375,-98.425,90.0,bottom
D5,D_Small,D_SOD-123F,129.401494,-60.439896,100.0,bottom
D6,D_Small,D_SOD-123F,178.54836,-58.571236,80.0,bottom
D7,D_Small,D_SOD-123F,197.275868,-55.075632,80.0,bottom
D8,D_Small,D_SOD-123F,214.878657,-45.201428,80.0,bottom
D9,D_Small,D_SOD-123F,234.797043,-48.459636,80.0,bottom
F1,500mA,Fuse_1206_3216Metric,146.05,-42.06875,270.0,bottom
IC1,W25Q16JVUXIQ,SON50P300X200X60-9N,157.1625,-49.2125,0.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,150.8125,-35.515,180.0,bottom
J2,VIK Cirque Connector,VIK_Cirque_Horizontal,150.8125,-75.25625,0.0,bottom
R10,39,R_0402_1005Metric,142.875,-83.54375,0.0,bottom
R11,10k,R_0402_1005Metric,149.225,-69.56625,90.0,bottom
R12,4k7,R_0402_1005Metric,152.4,-69.56625,270.0,bottom
R13,4k7,R_0402_1005Metric,150.8125,-69.56625,270.0,bottom
R2,1k,R_0402_1005Metric,157.95625,-42.06875,90.0,bottom
R3,5k1,R_0402_1005Metric,148.43125,-41.275,270.0,bottom
R4,5k1,R_0402_1005Metric,153.19375,-41.275,270.0,bottom
R5,5.1k,R_0402_1005Metric,143.66875,-42.06875,270.0,bottom
R6,1k,R_0402_1005Metric,152.4,-64.29375,180.0,bottom
R7,27R,R_0603_1608Metric,150.8125,-49.2125,270.0,bottom
R8,27R,R_0603_1608Metric,149.225,-49.2125,270.0,bottom
R9,10k,R_0402_1005Metric,157.95625,-93.94625,90.0,bottom
SW1,boot,SW_SPST_TL3342,163.5125,-42.06875,180.0,bottom
SWR1,Reset,SW_SPST_TL3342,138.1125,-42.06875,0.0,bottom
U1,USBLC6-2SC6,SOT-23-6,150.8125,-43.65625,90.0,bottom
U2,XC6206PxxxMR-Regulator_Linear,SOT-23,144.4625,-47.625,90.0,bottom
U3,RP2040,RP2040-QFN-56,151.2425,-57.94375,0.0,bottom
U4,XC6206P202MR,SOT-23-3,161.925,-80.9625,90.0,bottom
U5,PMW3360DM-T2QU_1,PixArt_PMW3360DM-T2QU,150.800243,-89.899438,0.0,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,152.4,-66.675,180.0,bottom
